number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
0,COMPLETE,"[122.0, 3.557962373250727]",2025-10-15T22:15:11.317167,2025-10-15T22:23:05.216338,473.899171,0.05,0.13476351411969267,0.003,21.019640332914033
1,COMPLETE,"[59.0, 5.423599077270804]",2025-10-15T22:23:05.228348,2025-10-15T22:30:59.448149,474.219801,0.05,0.2548778581997347,0.003,46.20811595802344
2,COMPLETE,"[81.0, 3.8420938064677475]",2025-10-15T22:30:59.458159,2025-10-15T22:38:53.280318,473.822159,0.05,0.489613931433125,0.003,29.198425460549654
3,COMPLETE,"[124.0, 3.5762016025274175]",2025-10-15T22:38:53.291328,2025-10-15T22:46:47.326460,474.035132,0.05,0.051268710933033416,0.003,21.94008119203838
4,COMPLETE,"[133.0, 4.030083958029231]",2025-10-15T22:46:47.336470,2025-10-15T22:54:41.175987,473.839517,0.05,0.04506929836123935,0.003,32.34871107894818
5,COMPLETE,"[98.0, 4.606916977479612]",2025-10-15T22:54:41.185996,2025-10-15T23:02:35.149614,473.963618,0.05,0.22200937039798946,0.003,32.024781526935826
6,COMPLETE,"[59.0, 5.533813514895404]",2025-10-15T23:02:35.159624,2025-10-15T23:10:28.308102,473.148478,0.05,0.23388100327800568,0.003,47.29749689844223
7,COMPLETE,"[93.0, 3.76442260443945]",2025-10-15T23:10:28.319113,2025-10-15T23:18:22.559850,474.240737,0.05,0.374817186580846,0.003,26.1494965860773
8,COMPLETE,"[108.0, 5.148913059529707]",2025-10-15T23:18:22.570859,2025-10-15T23:26:15.275653,472.704794,0.05,0.11207611845436852,0.003,37.05234393086667
9,COMPLETE,"[88.0, 4.469280341816015]",2025-10-15T23:26:15.285663,2025-10-15T23:34:07.609612,472.323949,0.05,0.3231589042384043,0.003,32.5801000545887
10,COMPLETE,"[99.0, 3.103080641083455]",2025-10-15T23:34:07.620622,2025-10-15T23:42:00.978496,473.357874,0.05,0.01,0.003,44.08125174810371
11,COMPLETE,"[94.0, 5.242403065885491]",2025-10-15T23:42:00.989506,2025-10-15T23:49:54.259300,473.269794,0.05,0.15550961881371184,0.003,39.62952574377908
12,COMPLETE,"[119.0, 4.661443454664392]",2025-10-15T23:49:54.269309,2025-10-15T23:57:48.084256,473.814947,0.05,0.09455602334077616,0.003,32.66474210242047
13,COMPLETE,"[84.0, 5.418328323229378]",2025-10-15T23:57:48.094265,2025-10-16T00:05:41.983612,473.889347,0.05,0.18156976691651328,0.003,43.03360708435743
14,COMPLETE,"[125.0, 4.353303171332452]",2025-10-16T00:05:41.993621,2025-10-16T00:13:36.460486,474.466865,0.05,0.07770353929632108,0.003,31.628018194355537
15,COMPLETE,"[79.0, 2.9521367417303197]",2025-10-16T00:13:36.470494,2025-10-16T00:21:31.274984,474.80449,0.05,0.01,0.003,30.444856719151613
16,COMPLETE,"[100.0, 5.656396836189673]",2025-10-16T00:21:31.286996,2025-10-16T00:29:25.592715,474.305719,0.05,0.07983860504416496,0.003,50.0
17,COMPLETE,"[85.0, 5.816215211834727]",2025-10-16T00:29:25.602724,2025-10-16T00:37:19.159444,473.55672,0.05,0.11610915640052219,0.003,50.0
18,COMPLETE,"[26.0, 4.60831847646602]",2025-10-16T00:37:19.169453,2025-10-16T00:45:13.450152,474.280699,0.05,0.5999999999999999,0.003,50.0
19,COMPLETE,"[118.0, 5.2177904139751226]",2025-10-16T00:45:13.461162,2025-10-16T00:53:07.127310,473.666148,0.05,0.07539187276758565,0.003,40.37589341118968
20,COMPLETE,"[125.0, 4.688873109459578]",2025-10-16T00:53:07.137318,2025-10-16T01:01:00.936247,473.798929,0.05,0.057013035709278535,0.003,38.724686262743475
21,COMPLETE,"[111.0, 5.414675268594774]",2025-10-16T01:01:00.948258,2025-10-16T01:08:54.277775,473.329517,0.05,0.08025274538853618,0.003,44.18687168443785
22,COMPLETE,"[92.0, 5.813041284091229]",2025-10-16T01:08:54.288785,2025-10-16T01:16:47.896664,473.607879,0.05,0.10783089399848145,0.003,50.0
23,COMPLETE,"[128.0, 4.34716527242866]",2025-10-16T01:16:47.906674,2025-10-16T01:24:42.315124,474.40845,0.05,0.06134322179650665,0.003,34.417593173264805
24,COMPLETE,"[73.0, 5.7135689061055555]",2025-10-16T01:24:42.325134,2025-10-16T01:32:36.002292,473.677158,0.05,0.13720037924230516,0.003,50.0
25,COMPLETE,"[34.0, 5.145347944321478]",2025-10-16T01:32:36.012301,2025-10-16T01:40:29.726302,473.714001,0.05,0.40064935507416377,0.003,50.0
